Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.4453125,28,4148.0771484375,4151.5385742188,4203.205078125,4197.3076171875,4136.2822265625,4151.1538085938,4133.0771484375,4136.9228515625,4135.2563476562,4133.4614257812,4105.7690429688,4127.1796875,4152.5639648438,4159.1025390625,,,
13.1796875,843,4162.4360351562,4188.7177734375,4165.8974609375,4083.58984375,4162.0512695312,4166.2822265625,4184.7436523438,4174.1025390625,4192.9487304688,4203.0771484375,4280.2563476562,4200.0,4185.384765625,4167.5639648438,,,
16.3671875,1047,4160.8974609375,4085.0,4078.9743652344,4150.2563476562,4157.9487304688,4156.9228515625,4164.8715820312,4167.6923828125,4155.6411132812,4155.2563476562,4156.6665039062,4153.58984375,4183.58984375,4157.5639648438,,,
7.0859375,453,4116.5385742188,4137.8203125,4076.5385742188,4124.3588867188,4114.3588867188,4157.1796875,4123.205078125,4122.6923828125,4123.205078125,4119.2309570312,4085.2563476562,4095.5129394531,4141.41015625,4103.3334960938,,,
0.8984375,57,4176.0258789062,4176.9228515625,4236.41015625,4202.5639648438,4176.6665039062,4163.58984375,4182.6923828125,4188.0771484375,4200.7690429688,4201.0258789062,4200.2563476562,4171.2822265625,4224.7436523438,4194.3588867188,,,
11.83203125,757,4163.7177734375,4152.4360351562,4129.8715820312,4165.384765625,4163.205078125,4159.4873046875,4156.794921875,4186.794921875,4155.0,4157.3076171875,4151.9228515625,4157.4360351562,4187.4360351562,4132.8203125,,,
14.953125,957,4157.5639648438,4161.1538085938,4147.5639648438,4155.0,4146.2822265625,4158.0771484375,4137.3076171875,4162.9487304688,4156.794921875,4147.1796875,4146.1538085938,4150.8974609375,4174.8715820312,4172.1796875,,,
19.65625,1258,4140.8974609375,4152.5639648438,4158.58984375,4090.0,4140.1284179688,4157.3076171875,4151.2822265625,4169.4873046875,4161.6665039062,4165.7690429688,4200.2563476562,4159.7436523438,4196.9228515625,4151.794921875,,,
10.7265625,686,4181.6665039062,4150.6411132812,4249.615234375,4183.3334960938,4183.7177734375,4165.2563476562,4200.0,4196.794921875,4190.6411132812,4193.8461914062,4185.0,4177.3076171875,4231.0258789062,4156.9228515625,,,
19.02734375,1217,4176.794921875,4136.9228515625,4200.6411132812,4112.6923828125,4168.58984375,4155.6411132812,4153.58984375,4216.41015625,4230.384765625,4235.0,4298.0771484375,4220.5126953125,4218.205078125,4243.205078125,,,
